date,沪深300,纳指100,黄金
2021-01-04,5.334,0.8666,3.902
2021-01-05,5.433,0.8550000000000001,3.92
2021-01-06,5.482,0.8512000000000001,3.931
2021-01-07,5.599,0.8486,3.903
2021-01-08,5.571,0.8635999999999999,3.878
2021-01-11,5.508,0.8662000000000001,3.777
2021-01-12,5.668,0.8598000000000001,3.805
2021-01-13,5.646,0.8562,3.797
2021-01-14,5.543,0.8593999999999999,3.772
2021-01-15,5.526,0.8535999999999999,3.785
2021-01-18,5.513,0.8488,3.775
2021-01-19,5.438,0.8582000000000001,3.779
2021-01-20,5.468,0.8648,3.789
2021-01-21,5.562,0.8869999999999999,3.825
2021-01-22,5.565,0.8864000000000001,3.806
2021-01-25,5.631,0.8942,3.788
2021-01-26,5.511,0.8886,3.799
2021-01-27,5.521,0.9026,3.779
2021-01-28,5.385,0.8666,3.761
2021-01-29,5.348,0.8654,3.778
2021-02-01,5.411,0.8619999999999999,3.82
2021-02-02,5.491,0.8882,3.789
2021-02-03,5.485,0.8986000000000001,3.75
2021-02-04,5.474,0.8897999999999999,3.723
2021-02-05,5.482,0.9016,3.681
2021-02-08,5.554,0.9074,3.712
2021-02-09,5.692,0.9071999999999999,3.752
2021-02-10,5.807,0.9106,3.756
2021-02-18,5.764,0.9064,3.65
2021-02-19,5.796,0.9054,3.634
2021-02-22,5.589,0.8974,3.675
2021-02-23,5.574,0.8832000000000001,3.713
2021-02-24,5.427,0.8678000000000001,3.705
2021-02-25,5.478,0.8844,3.67
2021-02-26,5.329,0.8492000000000001,3.613
2021-03-01,5.418,0.8684,3.595
2021-03-02,5.349,0.8792,3.536
2021-03-03,5.454,0.8752000000000001,3.549
2021-03-04,5.287,0.8468,3.514
2021-03-05,5.266,0.8364,3.482
2021-03-08,5.08,0.8378,3.519
2021-03-09,4.979,0.8305999999999999,3.506
2021-03-10,5.0,0.8522000000000001,3.542
2021-03-11,5.129,0.8593999999999999,3.573
2021-03-12,5.142,0.8648,3.524
2021-03-15,5.04,0.8612,3.556
2021-03-16,5.073,0.8774,3.562
2021-03-17,5.096,0.876,3.577
2021-03-18,5.136,0.8826,3.604
2021-03-19,4.997,0.8534,3.589
2021-03-22,5.054,0.8615999999999999,3.57
2021-03-23,5.009,0.8698,3.585
2021-03-24,4.933,0.8702,3.578
2021-03-25,4.929,0.857,3.589
2021-03-26,5.033,0.8644000000000001,3.579
2021-03-29,5.043,0.8644000000000001,3.579
2021-03-30,5.087,0.8662000000000001,3.536
2021-03-31,5.05,0.8657999999999999,3.495
2021-04-01,5.112,0.8859999999999999,3.565
2021-04-02,5.161,0.8958,3.612
2021-04-06,5.133,0.9098,3.591
2021-04-07,5.098,0.909,3.607
2021-04-08,5.109,0.9183999999999999,3.614
2021-04-09,5.038,0.921,3.631
2021-04-12,4.954,0.9269999999999999,3.612
2021-04-13,4.947,0.925,3.575
2021-04-14,4.975,0.9369999999999999,3.615
2021-04-15,4.947,0.9276,3.612
2021-04-16,4.963,0.9362,3.643
2021-04-19,5.089,0.9380000000000001,3.67
2021-04-20,5.081,0.924,3.635
2021-04-21,5.093,0.917,3.673
2021-04-22,5.089,0.9254,3.676
2021-04-23,5.14,0.9144,3.668
2021-04-26,5.076,0.9238,3.649
2021-04-27,5.089,0.9311999999999999,3.653
2021-04-28,5.127,0.9279999999999999,3.632
2021-04-29,5.173,0.9305999999999999,3.643
2021-04-30,5.128,0.9238,3.625
2021-05-06,5.061,0.9023999999999999,3.676
2021-05-07,5.0,0.9004,3.717
2021-05-10,4.999,0.9074,3.73
2021-05-11,5.025,0.881,3.725
2021-05-12,5.056,0.8812,3.732
2021-05-13,5.001,0.8692,3.717
2021-05-14,5.127,0.8788,3.739
2021-05-17,5.188,0.8878,3.777
2021-05-18,5.19,0.8906000000000001,3.802
2021-05-19,5.176,0.8742000000000001,3.812
2021-05-20,5.19,0.8764,3.811
2021-05-21,5.135,0.8939999999999999,3.816
2021-05-24,5.163,0.8896000000000001,3.828
2021-05-25,5.327,0.9032,3.812
2021-05-26,5.328,0.9019999999999999,3.852
2021-05-27,5.347,0.897,3.829
2021-05-28,5.332,0.8966,3.8
2021-05-31,5.338,0.8949999999999999,3.828
2021-06-01,5.346,0.8966,3.853
2021-06-02,5.303,0.8924,3.793
2021-06-03,5.262,0.8946,3.774
2021-06-04,5.295,0.8878,3.732
2021-06-07,5.289,0.9002000000000001,3.757
2021-06-08,5.247,0.9034000000000001,3.778
2021-06-09,5.255,0.9046,3.775
2021-06-10,5.289,0.9018,3.764
2021-06-11,5.24,0.9126,3.795
2021-06-15,5.181,0.9266,3.73
2021-06-16,5.11,0.9206,3.729
2021-06-17,5.121,0.9176,3.667
2021-06-18,5.126,0.9368000000000001,3.625
2021-06-21,5.119,0.9282,3.628
2021-06-22,5.145,0.9342,3.641
2021-06-23,5.176,0.9486000000000001,3.645
2021-06-24,5.189,0.9484,3.628
2021-06-25,5.27,0.9512,3.624
2021-06-28,5.279,0.9534,3.629
2021-06-29,5.225,0.9606,3.616
2021-06-30,5.256,0.9673999999999999,3.584
2021-07-01,5.254,0.9654,3.629
2021-07-02,5.113,0.9656,3.632
2021-07-05,5.12,0.9766,3.645
2021-07-06,5.127,0.9773999999999999,3.679
2021-07-07,5.18,0.9837999999999999,3.676
2021-07-08,5.136,0.982,3.67
2021-07-09,5.112,0.9805999999999999,3.68
2021-07-12,5.18,0.9868,3.674
2021-07-13,5.196,0.9880000000000001,3.689
2021-07-14,5.139,0.9875999999999999,3.692
2021-07-15,5.207,0.9896,3.721
2021-07-16,5.156,0.9805999999999999,3.711
2021-07-19,5.178,0.9747999999999999,3.679
2021-07-20,5.165,0.9726000000000001,3.709
2021-07-21,5.204,0.9785999999999999,3.695
2021-07-22,5.209,0.9875999999999999,3.667
2021-07-23,5.157,0.9949999999999999,3.684
2021-07-26,4.982,1.0082,3.693
2021-07-27,4.809,1.006,3.662
2021-07-28,4.819,0.9960000000000001,3.698
2021-07-29,4.906,0.9992000000000001,3.708
2021-07-30,4.872,0.9823999999999999,3.72
2021-08-02,4.993,0.9960000000000001,3.68
2021-08-03,4.995,0.9936,3.681
2021-08-04,5.039,1.0002,3.689
2021-08-05,5.009,0.9992000000000001,3.685
2021-08-06,4.993,1.0066000000000002,3.663
2021-08-09,5.048,1.0016,3.568
2021-08-10,5.105,1.0062,3.552
2021-08-11,5.078,1.0012,3.548
2021-08-12,5.046,0.9984,3.58
2021-08-13,5.019,1.002,3.591
2021-08-16,5.016,1.0044,3.621
2021-08-17,4.904,1.0078,3.658
2021-08-18,4.957,1.0018,3.66
2021-08-19,4.923,0.9843999999999999,3.648
2021-08-20,4.833,0.9936,3.659
2021-08-23,4.905,1.01,3.652
2021-08-24,4.957,1.0246,3.679
2021-08-25,4.971,1.0236,3.658
2021-08-26,4.886,1.0222,3.645
2021-08-27,4.899,1.0230000000000001,3.682
2021-08-30,4.881,1.0308,3.691
2021-08-31,4.879,1.0448,3.69
2021-09-01,4.949,1.04,3.69
2021-09-02,4.945,1.0386,3.687
2021-09-03,4.918,1.0364,3.687
2021-09-06,5.002,1.0390000000000001,3.708
2021-09-07,5.065,1.04,3.696
2021-09-08,5.044,1.0386,3.653
2021-09-09,5.042,1.033,3.639
2021-09-10,5.091,1.0295999999999998,3.66
2021-09-13,5.064,1.0244,3.642
2021-09-14,4.998,1.0184,3.646
2021-09-15,4.945,1.0162,3.659
2021-09-16,4.889,1.0211999999999999,3.628
2021-09-17,4.928,1.027,3.592
2021-09-22,4.895,1.0018,3.64
2021-09-23,4.924,1.011,3.605
2021-09-24,4.931,1.0130000000000001,3.586
2021-09-27,4.963,1.0192,3.59
2021-09-28,4.954,1.001,3.562
2021-09-29,4.921,0.9868,3.557
2021-09-30,4.935,0.9888,3.543
2021-10-08,5.006,0.9874,3.587
2021-10-11,5.005,0.9762000000000001,3.573
2021-10-12,4.953,0.968,3.591
2021-10-13,5.009,0.9704,3.59
2021-10-14,4.982,0.9833999999999999,3.636
2021-10-15,5.006,0.9972,3.629
2021-10-18,4.948,0.9964000000000001,3.58
2021-10-19,4.995,1.0078,3.594
2021-10-20,4.981,1.0096,3.584
2021-10-21,5.003,1.0093999999999999,3.601
2021-10-22,5.036,1.0130000000000001,3.615
2021-10-25,5.053,1.008,3.606
2021-10-26,5.036,1.0206,3.621
2021-10-27,4.97,1.019,3.594
2021-10-28,4.949,1.0231999999999999,3.629
2021-10-29,4.981,1.0244,3.609
2021-11-01,4.965,1.0416,3.594
2021-11-02,4.913,1.0436,3.617
2021-11-03,4.893,1.0486,3.589
2021-11-04,4.94,1.0630000000000002,3.575
2021-11-05,4.923,1.076,3.624
2021-11-08,4.919,1.0724,3.66
2021-11-09,4.917,1.0736,3.671
2021-11-10,4.892,1.0632,3.669
2021-11-11,4.972,1.0544,3.721
2021-11-12,4.97,1.0539999999999998,3.722
2021-11-15,4.964,1.0672000000000001,3.716
2021-11-16,4.96,1.0608,3.732
2021-11-17,4.959,1.0694000000000001,3.72
2021-11-18,4.915,1.0718,3.735
2021-11-19,4.97,1.0866,3.73
2021-11-22,4.983,1.0896000000000001,3.696
2021-11-23,4.986,1.0718,3.632
2021-11-24,4.997,1.0736,3.613
2021-11-25,4.978,1.079,3.611
2021-11-26,4.936,1.068,3.628
2021-11-29,4.929,1.0644,3.614
2021-11-30,4.911,1.0692,3.605
2021-12-01,4.924,1.0699999999999998,3.591
2021-12-02,4.934,1.046,3.575
2021-12-03,4.979,1.0452,3.566
2021-12-06,4.974,1.0306,3.592
2021-12-07,5.002,1.044,3.584
2021-12-08,5.074,1.0699999999999998,3.589
2021-12-09,5.158,1.0657999999999999,3.575
2021-12-10,5.143,1.056,3.565
2021-12-13,5.156,1.0692,3.585
2021-12-14,5.125,1.0522,3.588
2021-12-15,5.079,1.0433999999999999,3.552
2021-12-16,5.106,1.0694000000000001,3.584
2021-12-17,5.033,1.0382,3.629
2021-12-20,4.958,1.0226000000000002,3.624
2021-12-21,4.979,1.036,3.599
2021-12-22,4.982,1.0412000000000001,3.591
2021-12-23,5.02,1.0552,3.627
2021-12-24,4.997,1.0614000000000001,3.633
2021-12-27,5.001,1.0662,3.63
2021-12-28,5.027,1.081,3.642
2021-12-29,4.96,1.0804,3.625
2021-12-30,4.996,1.0744,3.606
2021-12-31,5.008,1.0728,3.643
2022-01-04,4.99,1.0812,3.62
2022-01-05,4.943,1.0594,3.635
2022-01-06,4.887,1.0302,3.614
2022-01-07,4.899,1.0375999999999999,3.592
2022-01-10,4.912,1.0284,3.599
2022-01-11,4.867,1.0202,3.629
2022-01-12,4.919,1.0384,3.646
2022-01-13,4.838,,3.654
2022-01-14,4.794,1.015,3.65
2022-01-17,4.835,1.014,3.635
2022-01-18,4.881,1.008,3.629
2022-01-19,4.78,0.986,3.625
2022-01-20,4.818,0.989,3.674
2022-01-21,4.784,0.96,3.672
2022-01-24,4.786,0.951,3.662
2022-01-25,4.68,0.93,3.671
2022-01-26,4.706,0.925,3.674
2022-01-27,4.625,0.905,3.606
2022-01-28,4.554,0.919,3.594
2022-02-07,4.626,0.956,3.62
2022-02-08,4.604,0.95,3.641
2022-02-09,4.643,0.966,3.658
2022-02-10,4.632,0.98,3.665
2022-02-11,4.596,0.952,3.645
2022-02-14,4.547,0.933,3.705
2022-02-15,4.589,0.933,3.742
2022-02-16,4.61,0.949,3.692
2022-02-17,4.62,0.942,3.726
2022-02-18,4.644,0.933,3.76
2022-02-21,4.627,0.931,3.754
2022-02-22,4.567,0.893,3.801
2022-02-23,4.615,0.908,3.772
2022-02-24,4.53,0.857,3.853
2022-02-25,4.565,0.894,3.807
2022-02-28,4.571,0.896,3.787
2022-03-01,4.609,0.919,3.786
2022-03-02,4.574,0.905,3.837
2022-03-03,4.545,0.92,3.827
2022-03-04,4.494,0.902,3.841
2022-03-07,4.346,0.881,3.926
2022-03-08,4.264,0.852,4.015
2022-03-09,4.224,0.862,4.061
2022-03-10,4.284,0.884,3.931
2022-03-11,4.312,0.879,3.937
2022-03-14,4.172,0.868,3.917
2022-03-15,3.973,0.851,3.832
2022-03-16,4.146,0.883,3.796
2022-03-17,4.23,0.91,3.845
2022-03-18,4.258,0.91,3.851
2022-03-21,4.252,0.93,3.841
2022-03-22,4.248,0.932,3.866
2022-03-23,4.273,0.955,3.835
2022-03-24,4.246,0.946,3.88
2022-03-25,4.169,0.963,3.907
2022-03-28,4.144,0.958,3.872
2022-03-29,4.126,0.978,3.849
2022-03-30,4.249,0.99,3.839
2022-03-31,4.218,0.983,3.833
2022-04-01,4.269,0.973,3.853
2022-04-06,4.257,0.967,3.836
2022-04-07,4.205,0.947,3.843
2022-04-08,4.233,0.953,3.852
2022-04-11,4.101,0.929,3.886
2022-04-12,4.171,0.911,3.908
2022-04-13,4.139,0.917,3.926
2022-04-14,4.183,0.931,3.931
2022-04-15,4.181,0.905,3.944
2022-04-18,4.161,0.9,3.967
2022-04-19,4.134,0.913,3.936
2022-04-20,4.064,0.924,3.886
2022-04-21,3.996,0.928,3.937
2022-04-22,4.006,0.911,3.951
2022-04-25,3.813,0.883,3.924
2022-04-26,3.783,0.904,3.89
2022-04-27,3.889,0.881,3.892
2022-04-28,3.915,0.893,3.89
2022-04-29,4.015,0.905,3.942
2022-05-05,4.0,0.913,3.929
2022-05-06,3.903,0.878,3.922
2022-05-09,3.871,0.866,3.939
2022-05-10,3.916,0.855,3.91
2022-05-11,3.971,0.859,3.89
2022-05-12,3.951,0.83,3.928
2022-05-13,3.982,0.844,3.888
2022-05-16,3.951,0.855,3.851
2022-05-17,4.0,0.859,3.877
2022-05-18,3.986,0.864,3.836
2022-05-19,3.995,0.828,3.85
2022-05-20,4.079,0.833,3.872
2022-05-23,4.047,0.837,3.875
2022-05-24,3.965,0.813,3.882
2022-05-25,3.982,0.818,3.887
2022-05-26,3.992,0.822,3.901
2022-05-27,4.002,0.848,3.917
2022-05-30,4.025,0.875,3.885
2022-05-31,4.089,0.868,3.877
2022-06-01,4.083,0.868,3.852
2022-06-02,4.094,0.86,3.877
2022-06-06,4.176,0.861,3.869
2022-06-07,4.182,0.854,3.854
2022-06-08,4.224,0.866,3.872
2022-06-09,4.19,0.861,3.881
2022-06-10,4.248,0.847,3.865
2022-06-13,4.196,0.804,3.926
2022-06-14,4.236,0.799,3.855
2022-06-15,4.285,0.803,3.834
2022-06-16,4.258,0.798,3.846
2022-06-17,4.321,0.791,3.874
2022-06-20,4.342,0.796,3.858
2022-06-21,4.34,0.805,3.852
2022-06-22,4.29,0.802,3.849
2022-06-23,4.365,0.815,3.854
2022-06-24,4.413,0.824,3.827
2022-06-27,4.461,0.837,3.853
2022-06-28,4.513,0.828,3.832
2022-06-29,4.458,0.806,3.821
2022-06-30,4.508,0.801,3.818
2022-07-01,4.493,0.799,3.784
2022-07-04,4.521,0.802,3.801
2022-07-05,4.511,0.814,3.797
2022-07-06,4.452,0.819,3.725
2022-07-07,4.468,0.829,3.676
2022-07-08,4.464,0.835,3.669
2022-07-11,4.388,0.828,3.669
2022-07-12,4.352,0.816,3.668
2022-07-13,4.359,0.821,3.646
2022-07-14,4.36,0.812,3.647
2022-07-15,4.295,0.821,3.622
2022-07-18,4.341,0.841,3.635
2022-07-19,4.319,0.829,3.627
2022-07-20,4.331,0.856,3.628
2022-07-21,4.286,0.861,3.599
2022-07-22,4.289,0.867,3.65
2022-07-25,4.271,0.854,3.663
2022-07-26,4.3,0.849,3.668
2022-07-27,4.276,0.849,3.659
2022-07-28,4.279,0.864,3.697
2022-07-29,4.22,0.888,3.749
2022-08-01,4.238,0.886,3.743
2022-08-02,4.167,0.886,3.773
2022-08-03,4.122,0.886,3.759
2022-08-04,4.153,0.911,3.76
2022-08-05,4.218,0.915,3.79
2022-08-08,4.204,0.912,3.769
2022-08-09,4.211,0.905,3.786
2022-08-10,4.166,0.892,3.794
2022-08-11,4.254,0.923,3.777
2022-08-12,4.255,0.914,3.795
2022-08-15,4.245,0.931,3.799
2022-08-16,4.235,0.942,3.796
2022-08-17,4.276,0.939,3.779
2022-08-18,4.239,0.926,3.761
2022-08-19,4.209,0.928,3.761
2022-08-22,4.236,0.912,3.753
2022-08-23,4.222,0.895,3.763
2022-08-24,4.145,0.898,3.787
2022-08-25,4.181,0.91,3.797
2022-08-26,4.175,0.915,3.798
2022-08-29,4.15,0.879,3.767
2022-08-30,4.141,0.883,3.783
2022-08-31,4.141,0.875,3.758
2022-09-01,4.107,0.854,3.73
2022-09-02,4.084,0.863,3.726
2022-09-05,4.082,0.856,3.765
2022-09-06,4.111,0.862,3.784
2022-09-07,4.119,0.853,3.759
2022-09-08,4.101,0.87,3.79
2022-09-09,4.159,0.873,3.785
2022-09-13,4.173,0.898,3.787
2022-09-14,4.127,0.856,3.76
2022-09-15,4.09,0.858,3.744
2022-09-16,4.0,0.841,3.728
2022-09-19,3.989,0.84,3.741
2022-09-20,3.991,0.855,3.754
2022-09-21,3.961,0.85,3.759
2022-09-22,3.932,0.834,3.753
2022-09-23,3.924,0.829,3.77
2022-09-26,3.899,0.816,3.736
2022-09-27,3.949,0.831,3.746
2022-09-28,3.893,0.82,3.751
2022-09-29,3.894,0.833,3.78
2022-09-30,3.868,0.812,3.783
2022-10-10,3.789,0.792,3.81
2022-10-11,3.786,0.792,3.802
2022-10-12,3.848,0.797,3.812
2022-10-13,3.815,0.79,3.817
2022-10-14,3.903,0.811,3.813
2022-10-17,3.902,0.793,3.792
2022-10-18,3.895,0.824,3.802
2022-10-19,3.836,0.821,3.793
2022-10-20,3.824,0.812,3.775
2022-10-21,3.802,0.81,3.771
2022-10-24,3.704,0.833,3.82
2022-10-25,3.688,0.848,3.827
2022-10-26,3.716,0.842,3.824
2022-10-27,3.69,0.837,3.817
2022-10-28,3.604,0.811,3.82
2022-10-31,3.565,0.849,3.807
2022-11-01,3.703,0.851,3.81
2022-11-02,3.737,0.838,3.817
2022-11-03,3.707,0.813,3.805
2022-11-04,3.834,0.814,3.804
2022-11-07,3.834,0.815,3.832
2022-11-08,3.811,0.816,3.839
2022-11-09,3.771,0.818,3.945
2022-11-10,3.75,0.808,3.925
2022-11-11,3.848,0.854,3.952
2022-11-14,3.85,0.848,3.913
2022-11-15,3.925,0.855,3.933
2022-11-16,3.896,0.861,3.954
2022-11-17,3.879,0.856,3.958
2022-11-18,3.866,0.853,3.952
2022-11-21,3.833,0.85,3.936
2022-11-22,3.831,0.843,3.932
2022-11-23,3.834,0.853,3.932
2022-11-24,3.816,0.863,3.947
2022-11-25,3.837,0.865,3.959
2022-11-28,3.792,0.854,3.962
2022-11-29,3.908,0.852,3.951
2022-11-30,3.911,0.842,3.944
2022-12-01,3.956,0.868,3.956
2022-12-02,3.933,0.863,3.979
2022-12-05,4.004,0.854,3.94
2022-12-06,4.027,0.844,3.898
2022-12-07,4.015,0.835,3.898
2022-12-08,4.024,0.832,3.91
2022-12-09,4.058,0.833,3.924
2022-12-12,4.016,0.825,3.921
2022-12-13,4.005,0.838,3.924
2022-12-14,4.015,0.848,3.963
2022-12-15,4.013,0.835,3.933
2022-12-16,4.017,0.816,3.915
2022-12-19,3.959,0.813,3.942
2022-12-20,3.896,0.802,3.943
2022-12-21,3.893,0.809,3.981
2022-12-22,3.901,0.811,3.981
2022-12-23,3.891,0.801,3.948
2022-12-26,3.9,0.802,3.953
2022-12-27,3.947,0.808,3.963
2022-12-28,3.934,0.799,3.966
2022-12-29,3.922,0.795,3.96
2022-12-30,3.938,0.799,3.986
2023-01-03,3.949,0.806,3.987
2023-01-04,3.954,0.804,4.002
2023-01-05,4.029,0.805,4.001
2023-01-06,4.045,0.799,3.972
2023-01-09,4.07,0.809,4.015
2023-01-10,4.076,0.805,4.013
2023-01-11,4.076,0.81,4.025
2023-01-12,4.082,0.818,4.019
2023-01-13,4.144,0.815,4.027
2023-01-16,4.143,0.815,4.05
2023-01-17,4.139,0.82,4.066
2023-01-18,4.13,0.821,4.056
2023-01-19,4.158,0.81,4.068
2023-01-20,4.181,0.815,4.101
2023-01-30,4.205,0.844,4.096
2023-01-31,4.159,0.832,4.069
2023-02-01,4.19,0.847,4.091
2023-02-02,4.18,0.862,4.125
2023-02-03,4.137,0.87,4.071
2023-02-06,4.08,0.865,4.018
2023-02-07,4.09,0.866,4.01
2023-02-08,4.073,0.882,4.01
2023-02-09,4.127,0.873,4.019
2023-02-10,4.103,0.86,3.993
2023-02-13,4.135,0.859,4.018
2023-02-14,4.144,0.871,4.015
2023-02-15,4.116,0.873,4.002
2023-02-16,4.087,0.89,4.001
2023-02-17,4.029,0.865,3.992
2023-02-20,4.134,0.868,4.01
2023-02-21,4.139,0.866,4.005
2023-02-22,4.099,0.85,4.017
2023-02-23,4.099,0.857,4.008
2023-02-24,4.06,0.86,4.021
2023-02-27,4.045,0.852,4.01
2023-02-28,4.071,0.855,4.015
2023-03-01,4.12,0.852,4.029
2023-03-02,4.115,0.84,4.026
2023-03-03,4.124,0.849,4.044
2023-03-06,4.099,0.871,4.071
2023-03-07,4.042,0.872,4.076
2023-03-08,4.026,0.864,4.033
2023-03-09,4.016,0.868,4.033
2023-03-10,3.961,0.848,4.061
2023-03-13,4.005,0.854,4.089
2023-03-14,3.98,0.841,4.142
2023-03-15,3.979,0.859,4.139
2023-03-16,3.933,0.863,4.174
2023-03-17,3.954,0.884,4.198
2023-03-20,3.932,0.873,4.327
2023-03-21,3.975,0.882,4.286
2023-03-22,3.993,0.895,4.223
2023-03-23,4.031,0.884,4.253
2023-03-24,4.026,0.891,4.275
2023-03-27,4.005,0.899,4.246
2023-03-28,3.997,0.893,4.225
2023-03-29,3.997,0.893,4.24
2023-03-30,4.04,0.903,4.248
2023-03-31,4.05,0.908,4.281
2023-04-03,4.08,0.92,4.221
2023-04-04,4.1,0.922,4.269
2023-04-06,4.088,0.906,4.33
2023-04-07,4.117,0.914,4.328
2023-04-10,4.102,0.91,4.287
2023-04-11,4.092,0.915,4.311
2023-04-12,4.088,0.908,4.341
2023-04-13,4.063,0.902,4.346
2023-04-14,4.084,0.91,4.366
2023-04-17,4.145,0.914,4.324
2023-04-18,4.152,0.914,4.305
2023-04-19,4.119,0.912,4.297
2023-04-20,4.103,0.912,4.308
2023-04-21,4.03,0.908,4.288
2023-04-24,3.979,0.906,4.277
2023-04-25,3.96,0.906,4.316
2023-04-26,3.951,0.904,4.323
2023-04-27,3.986,0.905,4.333
2023-04-28,4.025,0.923,4.298
2023-05-04,4.025,0.918,4.395
2023-05-05,4.009,0.916,4.415
2023-05-08,4.054,0.93,4.368
2023-05-09,4.019,0.93,4.377
2023-05-10,3.988,0.93,4.398
2023-05-11,3.983,0.942,4.394
2023-05-12,3.932,0.946,4.365
2023-05-15,3.995,0.944,4.382
2023-05-16,3.978,0.947,4.369
2023-05-17,3.951,0.953,4.353
2023-05-18,3.95,0.968,4.345
2023-05-19,3.944,0.99,4.33
2023-05-22,3.964,0.984,4.347
2023-05-23,3.907,0.992,4.33
2023-05-24,3.854,0.977,4.352
2023-05-25,3.845,0.993,4.335
2023-05-26,3.85,0.996,4.31
2023-05-29,3.834,1.032,4.314
2023-05-30,3.838,1.035,4.3
